# proved 1	predict(test00581,X1)  #v:[?].	269 msec
1	0.46280609193710376	predict(test00581,ship).
2	0.42540112275541553	predict(test00581,acq).
3	0.11179278530748078	predict(test00581,earn).
# proved 2	predict(test02105,X1)  #v:[?].	172 msec
1	0.5022950709229086	predict(test02105,acq).
2	0.4977049290770915	predict(test02105,ship).
# proved 3	predict(test00021,X1)  #v:[?].	118 msec
1	0.5016590477337094	predict(test00021,ship).
2	0.44244160202044375	predict(test00021,trade).
3	0.0558993502458469	predict(test00021,money-fx).
# proved 4	predict(test01197,X1)  #v:[?].	65 msec
1	0.30687340083229797	predict(test01197,ship).
2	0.29870856497922055	predict(test01197,crude).
3	0.25913910307406846	predict(test01197,earn).
4	0.13527893111441308	predict(test01197,acq).
# proved 5	predict(test01581,X1)  #v:[?].	108 msec
1	0.25192814456812934	predict(test01581,earn).
2	0.20528500711439315	predict(test01581,ship).
3	0.15227880837146335	predict(test01581,trade).
4	0.13717026055547019	predict(test01581,money-fx).
5	0.1105753585420897	predict(test01581,interest).
6	0.09750530483870422	predict(test01581,crude).
7	0.04525711600974989	predict(test01581,grain).
# proved 6	predict(test01429,X1)  #v:[?].	72 msec
1	0.44493740506607377	predict(test01429,acq).
2	0.30289987053353534	predict(test01429,ship).
3	0.2521627244003909	predict(test01429,earn).
# proved 7	predict(test00928,X1)  #v:[?].	40 msec
1	0.5190426843755965	predict(test00928,earn).
2	0.4809573156244035	predict(test00928,ship).
# proved 8	predict(test00384,X1)  #v:[?].	39 msec
1	0.32102357086805194	predict(test00384,ship).
2	0.3141795500244393	predict(test00384,acq).
3	0.15781160356492582	predict(test00384,earn).
4	0.0889174251099157	predict(test00384,trade).
5	0.060262650058651286	predict(test00384,crude).
6	0.05780520037401606	predict(test00384,money-fx).
# proved 9	predict(test00346,X1)  #v:[?].	39 msec
1	0.21904434732150824	predict(test00346,earn).
2	0.19619834452328067	predict(test00346,acq).
3	0.14956351390217182	predict(test00346,ship).
4	0.14020889820786345	predict(test00346,interest).
5	0.13674692301949112	predict(test00346,money-fx).
6	0.12843155017171717	predict(test00346,trade).
7	0.02980642285396741	predict(test00346,crude).
# proved 10	predict(test01422,X1)  #v:[?].	18 msec
1	0.8363872327383332	predict(test01422,earn).
2	0.16361276726166682	predict(test01422,ship).
# proved 11	predict(test00195,X1)  #v:[?].	32 msec
1	0.4312742817600738	predict(test00195,earn).
2	0.40912556499295366	predict(test00195,ship).
3	0.15960015324697255	predict(test00195,trade).
# proved 12	predict(test01521,X1)  #v:[?].	35 msec
1	0.1867150685988678	predict(test01521,ship).
2	0.18017918830604818	predict(test01521,acq).
3	0.14833194248330325	predict(test01521,earn).
4	0.11981001442372029	predict(test01521,trade).
5	0.10881226693326461	predict(test01521,grain).
6	0.10316067963583694	predict(test01521,money-fx).
7	0.09475379935151336	predict(test01521,crude).
8	0.058237040267445646	predict(test01521,interest).
# proved 13	predict(test01739,X1)  #v:[?].	29 msec
1	0.40056968126226855	predict(test01739,earn).
2	0.3210308505131013	predict(test01739,ship).
3	0.12183129264093377	predict(test01739,money-fx).
4	0.10442403491423101	predict(test01739,trade).
5	0.052144140669465266	predict(test01739,interest).
# proved 14	predict(test01764,X1)  #v:[?].	50 msec
1	0.14031573754862076	predict(test01764,acq).
2	0.13969018200200328	predict(test01764,ship).
3	0.12248422911499912	predict(test01764,crude).
4	0.12045865955336792	predict(test01764,grain).
5	0.12030064590402827	predict(test01764,trade).
6	0.12022985320691161	predict(test01764,money-fx).
7	0.11841114483455066	predict(test01764,earn).
8	0.1181095478355184	predict(test01764,interest).
# proved 15	predict(test01618,X1)  #v:[?].	18 msec
1	0.5478985771277071	predict(test01618,earn).
2	0.20084033983944743	predict(test01618,trade).
3	0.1402779135178369	predict(test01618,money-fx).
4	0.0992985289597388	predict(test01618,crude).
5	0.011684640555269753	predict(test01618,grain).
# proved 16	predict(test01893,X1)  #v:[?].	16 msec
1	1.0	predict(test01893,earn).
# proved 17	predict(test01009,X1)  #v:[?].	75 msec
1	0.13235559179974726	predict(test01009,acq).
2	0.1288441181287985	predict(test01009,ship).
3	0.12830460019632248	predict(test01009,earn).
4	0.12508196261558813	predict(test01009,money-fx).
5	0.12330183741780869	predict(test01009,trade).
6	0.12185580168719234	predict(test01009,grain).
7	0.12158226848726247	predict(test01009,crude).
8	0.11867381966728005	predict(test01009,interest).
# proved 18	predict(test00927,X1)  #v:[?].	13 msec
1	0.5186946384642962	predict(test00927,acq).
2	0.25569581381766543	predict(test00927,ship).
3	0.22560954771803837	predict(test00927,earn).
# proved 19	predict(test01697,X1)  #v:[?].	10 msec
1	1.0	predict(test01697,earn).
# proved 20	predict(test01015,X1)  #v:[?].	33 msec
1	0.35817336094051855	predict(test01015,ship).
2	0.32868847729843204	predict(test01015,crude).
3	0.13824318659260634	predict(test01015,money-fx).
4	0.13175183469050408	predict(test01015,earn).
5	0.03195317539234976	predict(test01015,grain).
6	0.011189965085589209	predict(test01015,acq).
# proved 21	predict(test00124,X1)  #v:[?].	36 msec
1	0.15929611758105489	predict(test00124,ship).
2	0.1491665706430489	predict(test00124,acq).
3	0.13189715753920442	predict(test00124,trade).
4	0.11945400295516914	predict(test00124,crude).
5	0.11333318571051086	predict(test00124,grain).
6	0.1132458983182557	predict(test00124,money-fx).
7	0.10928701359474659	predict(test00124,interest).
8	0.10432005365800956	predict(test00124,earn).
# proved 22	predict(test00485,X1)  #v:[?].	10 msec
1	1.0	predict(test00485,earn).
# proved 23	predict(test00642,X1)  #v:[?].	18 msec
1	0.3416755847524808	predict(test00642,acq).
2	0.3316605539878541	predict(test00642,ship).
3	0.13159539142033475	predict(test00642,trade).
4	0.07901758911816817	predict(test00642,earn).
5	0.058820682176719374	predict(test00642,crude).
6	0.057230198544442785	predict(test00642,grain).
# proved 24	predict(test00229,X1)  #v:[?].	10 msec
1	0.34972898776889516	predict(test00229,ship).
2	0.33780161177903933	predict(test00229,trade).
3	0.3124694004520654	predict(test00229,earn).
# proved 25	predict(test01338,X1)  #v:[?].	23 msec
1	0.15486618721328743	predict(test01338,ship).
2	0.1506610900184946	predict(test01338,acq).
3	0.12223096108995309	predict(test01338,trade).
4	0.12170985671169754	predict(test01338,crude).
5	0.11761585152112988	predict(test01338,grain).
6	0.11583071244878354	predict(test01338,money-fx).
7	0.1103509434349274	predict(test01338,earn).
8	0.10673439756172656	predict(test01338,interest).
# proved 26	predict(test00961,X1)  #v:[?].	12 msec
1	0.19917067965726096	predict(test00961,acq).
2	0.1840489912992656	predict(test00961,ship).
3	0.11536311659118881	predict(test00961,crude).
4	0.11337541495141362	predict(test00961,money-fx).
5	0.10453267558179175	predict(test00961,grain).
6	0.10376991708913952	predict(test00961,trade).
7	0.0905319362181086	predict(test00961,earn).
8	0.08920726861183102	predict(test00961,interest).
# proved 27	predict(test00588,X1)  #v:[?].	15 msec
1	0.4312438341230218	predict(test00588,earn).
2	0.3051223977465578	predict(test00588,ship).
3	0.2636337681304205	predict(test00588,acq).
# proved 28	predict(test02033,X1)  #v:[?].	15 msec
1	0.45953615794342806	predict(test02033,earn).
2	0.381541843674773	predict(test02033,ship).
3	0.15892199838179893	predict(test02033,money-fx).
# proved 29	predict(test01597,X1)  #v:[?].	13 msec
1	0.5938950957871759	predict(test01597,earn).
2	0.2257993832422049	predict(test01597,trade).
3	0.1323348620067442	predict(test01597,money-fx).
4	0.024866020044936585	predict(test01597,acq).
5	0.023104638918938304	predict(test01597,interest).
# proved 30	predict(test00049,X1)  #v:[?].	26 msec
1	0.2671483045698294	predict(test00049,ship).
2	0.24005484527665388	predict(test00049,earn).
3	0.20472923366513307	predict(test00049,interest).
4	0.1740060338802558	predict(test00049,money-fx).
5	0.11406158260812789	predict(test00049,acq).
# proved 31	predict(test00699,X1)  #v:[?].	102 msec
1	0.39573606883074675	predict(test00699,earn).
2	0.3944267768591724	predict(test00699,ship).
3	0.20983715431008088	predict(test00699,acq).
# proved 32	predict(test00451,X1)  #v:[?].	15 msec
1	0.26555421788759426	predict(test00451,ship).
2	0.2630403129577715	predict(test00451,earn).
3	0.23862108565541212	predict(test00451,crude).
4	0.2327843834992221	predict(test00451,acq).
# proved 33	predict(test01187,X1)  #v:[?].	11 msec
1	0.522500754375284	predict(test01187,earn).
2	0.47749924562471596	predict(test01187,ship).
# proved 34	predict(test01266,X1)  #v:[?].	15 msec
1	0.15106301587577292	predict(test01266,acq).
2	0.13879605599547398	predict(test01266,ship).
3	0.13854311914629178	predict(test01266,crude).
4	0.11761922740089999	predict(test01266,earn).
5	0.11730792241588259	predict(test01266,money-fx).
6	0.11688789543026865	predict(test01266,interest).
7	0.11355673844718593	predict(test01266,trade).
8	0.10622602528822414	predict(test01266,grain).
# proved 35	predict(test00915,X1)  #v:[?].	12 msec
1	0.1696222708453592	predict(test00915,acq).
2	0.16315780344218814	predict(test00915,ship).
3	0.14151949501844674	predict(test00915,earn).
4	0.11556775775832542	predict(test00915,trade).
5	0.11219561772668986	predict(test00915,interest).
6	0.10619224611960092	predict(test00915,money-fx).
7	0.10107893764021285	predict(test00915,crude).
8	0.090665871449177	predict(test00915,grain).
# proved 36	predict(test00419,X1)  #v:[?].	12 msec
1	0.5871674373731333	predict(test00419,earn).
2	0.2804691561086388	predict(test00419,acq).
3	0.13236340651822787	predict(test00419,ship).
# proved 37	predict(test01637,X1)  #v:[?].	84 msec
1	0.43762893113278256	predict(test01637,earn).
2	0.322924752068114	predict(test01637,ship).
3	0.16051266420893895	predict(test01637,acq).
4	0.06102381088920381	predict(test01637,interest).
5	0.01790984170096071	predict(test01637,trade).
# proved 38	predict(test00579,X1)  #v:[?].	3 msec
1	1.0	predict(test00579,earn).
# proved 39	predict(test00770,X1)  #v:[?].	5 msec
1	0.8055874056779748	predict(test00770,earn).
2	0.1944125943220252	predict(test00770,trade).
# proved 40	predict(test01451,X1)  #v:[?].	5 msec
1	1.0	predict(test01451,earn).
# proved 41	predict(test00197,X1)  #v:[?].	12 msec
1	0.34889696170309215	predict(test00197,earn).
2	0.3345391112147035	predict(test00197,acq).
3	0.28629336595700794	predict(test00197,ship).
4	0.03027056112519647	predict(test00197,grain).
# proved 42	predict(test01819,X1)  #v:[?].	10 msec
1	0.3528830331937042	predict(test01819,ship).
2	0.34944204985493527	predict(test01819,acq).
3	0.23813108890346474	predict(test01819,earn).
4	0.059543828047895916	predict(test01819,money-fx).
