# proved 1	predict(train00626,X1)  #v:[?].	352 msec
1	0.48361503484023	predict(train00626,earn).
2	0.4360025808286786	predict(train00626,crude).
3	0.08038238433109149	predict(train00626,trade).
# proved 2	predict(train02219,X1)  #v:[?].	119 msec
1	0.5403789086726178	predict(train02219,earn).
2	0.42031315401365993	predict(train02219,acq).
3	0.0393079373137222	predict(train02219,ship).
# proved 3	predict(train02700,X1)  #v:[?].	57 msec
1	1.0	predict(train02700,earn).
# proved 4	predict(train03121,X1)  #v:[?].	98 msec
1	0.5994688868081227	predict(train03121,earn).
2	0.4005311131918773	predict(train03121,acq).
# proved 5	predict(train03327,X1)  #v:[?].	107 msec
1	0.5384187104060751	predict(train03327,earn).
2	0.46158128959392486	predict(train03327,acq).
# proved 6	predict(train04312,X1)  #v:[?].	42 msec
1	1.0	predict(train04312,earn).
# proved 7	predict(train00964,X1)  #v:[?].	35 msec
1	1.0	predict(train00964,earn).
# proved 8	predict(train05074,X1)  #v:[?].	20 msec
1	1.0	predict(train05074,earn).
# proved 9	predict(train04653,X1)  #v:[?].	23 msec
1	1.0	predict(train04653,earn).
# proved 10	predict(train04237,X1)  #v:[?].	24 msec
1	0.4531059586211601	predict(train04237,earn).
2	0.32915471301469335	predict(train04237,money-fx).
3	0.2177393283641465	predict(train04237,acq).
# proved 11	predict(train02617,X1)  #v:[?].	14 msec
1	1.0	predict(train02617,earn).
# proved 12	predict(train01879,X1)  #v:[?].	21 msec
1	1.0	predict(train01879,earn).
# proved 13	predict(train04686,X1)  #v:[?].	75 msec
1	0.5275644116848961	predict(train04686,earn).
2	0.4724355883151039	predict(train04686,acq).
# proved 14	predict(train05114,X1)  #v:[?].	46 msec
1	0.7011025193545707	predict(train05114,earn).
2	0.2988974806454292	predict(train05114,acq).
# proved 15	predict(train03516,X1)  #v:[?].	10 msec
1	0.9732766472096395	predict(train03516,earn).
2	0.026723352790360606	predict(train03516,acq).
# proved 16	predict(train03524,X1)  #v:[?].	11 msec
1	0.5648100016271279	predict(train03524,earn).
2	0.4351899983728721	predict(train03524,acq).
# proved 17	predict(train03381,X1)  #v:[?].	12 msec
1	1.0	predict(train03381,earn).
# proved 18	predict(train02258,X1)  #v:[?].	26 msec
1	0.3524341632127496	predict(train02258,earn).
2	0.2888435725977394	predict(train02258,trade).
