class(r1,Y)	+class(r1,department)	-class(r1,course)	-class(r1,faculty)	-class(r1,person)	-class(r1,researchproject)	-class(r1,staff)	-class(r1,student)
class(r8,Y)	+class(r8,department)	-class(r8,course)	-class(r8,faculty)	-class(r8,person)	-class(r8,researchproject)	-class(r8,staff)	-class(r8,student)
class(r9,Y)	+class(r9,department)	-class(r9,course)	-class(r9,faculty)	-class(r9,person)	-class(r9,researchproject)	-class(r9,staff)	-class(r9,student)
class(r13,Y)	+class(r13,department)	-class(r13,course)	-class(r13,faculty)	-class(r13,person)	-class(r13,researchproject)	-class(r13,staff)	-class(r13,student)
class(r14,Y)	+class(r14,department)	-class(r14,course)	-class(r14,faculty)	-class(r14,person)	-class(r14,researchproject)	-class(r14,staff)	-class(r14,student)
class(r15,Y)	+class(r15,researchproject)	-class(r15,course)	-class(r15,department)	-class(r15,faculty)	-class(r15,person)	-class(r15,staff)	-class(r15,student)
class(r16,Y)	+class(r16,department)	-class(r16,course)	-class(r16,faculty)	-class(r16,person)	-class(r16,researchproject)	-class(r16,staff)	-class(r16,student)
class(r18,Y)	+class(r18,faculty)	+class(r18,person)	-class(r18,course)	-class(r18,department)	-class(r18,researchproject)	-class(r18,staff)	-class(r18,student)
class(r17,Y)	+class(r17,researchproject)	-class(r17,course)	-class(r17,department)	-class(r17,faculty)	-class(r17,person)	-class(r17,staff)	-class(r17,student)
class(r19,Y)	+class(r19,department)	-class(r19,course)	-class(r19,faculty)	-class(r19,person)	-class(r19,researchproject)	-class(r19,staff)	-class(r19,student)
class(r20,Y)	+class(r20,department)	-class(r20,course)	-class(r20,faculty)	-class(r20,person)	-class(r20,researchproject)	-class(r20,staff)	-class(r20,student)
class(r25,Y)	+class(r25,department)	-class(r25,course)	-class(r25,faculty)	-class(r25,person)	-class(r25,researchproject)	-class(r25,staff)	-class(r25,student)
class(r26,Y)	+class(r26,department)	-class(r26,course)	-class(r26,faculty)	-class(r26,person)	-class(r26,researchproject)	-class(r26,staff)	-class(r26,student)
class(r27,Y)	+class(r27,department)	-class(r27,course)	-class(r27,faculty)	-class(r27,person)	-class(r27,researchproject)	-class(r27,staff)	-class(r27,student)
class(r28,Y)	+class(r28,department)	-class(r28,course)	-class(r28,faculty)	-class(r28,person)	-class(r28,researchproject)	-class(r28,staff)	-class(r28,student)
class(r29,Y)	+class(r29,department)	-class(r29,course)	-class(r29,faculty)	-class(r29,person)	-class(r29,researchproject)	-class(r29,staff)	-class(r29,student)
class(r30,Y)	+class(r30,department)	-class(r30,course)	-class(r30,faculty)	-class(r30,person)	-class(r30,researchproject)	-class(r30,staff)	-class(r30,student)
class(r31,Y)	+class(r31,department)	-class(r31,course)	-class(r31,faculty)	-class(r31,person)	-class(r31,researchproject)	-class(r31,staff)	-class(r31,student)
class(r32,Y)	+class(r32,department)	-class(r32,course)	-class(r32,faculty)	-class(r32,person)	-class(r32,researchproject)	-class(r32,staff)	-class(r32,student)
class(r33,Y)	+class(r33,department)	-class(r33,course)	-class(r33,faculty)	-class(r33,person)	-class(r33,researchproject)	-class(r33,staff)	-class(r33,student)
class(r34,Y)	+class(r34,department)	-class(r34,course)	-class(r34,faculty)	-class(r34,person)	-class(r34,researchproject)	-class(r34,staff)	-class(r34,student)
class(r35,Y)	+class(r35,department)	-class(r35,course)	-class(r35,faculty)	-class(r35,person)	-class(r35,researchproject)	-class(r35,staff)	-class(r35,student)
class(r36,Y)	+class(r36,department)	-class(r36,course)	-class(r36,faculty)	-class(r36,person)	-class(r36,researchproject)	-class(r36,staff)	-class(r36,student)
class(r37,Y)	+class(r37,department)	-class(r37,course)	-class(r37,faculty)	-class(r37,person)	-class(r37,researchproject)	-class(r37,staff)	-class(r37,student)
class(r38,Y)	+class(r38,course)	-class(r38,department)	-class(r38,faculty)	-class(r38,person)	-class(r38,researchproject)	-class(r38,staff)	-class(r38,student)
class(r39,Y)	+class(r39,department)	-class(r39,course)	-class(r39,faculty)	-class(r39,person)	-class(r39,researchproject)	-class(r39,staff)	-class(r39,student)
class(r41,Y)	+class(r41,department)	-class(r41,course)	-class(r41,faculty)	-class(r41,person)	-class(r41,researchproject)	-class(r41,staff)	-class(r41,student)
class(r42,Y)	+class(r42,department)	-class(r42,course)	-class(r42,faculty)	-class(r42,person)	-class(r42,researchproject)	-class(r42,staff)	-class(r42,student)
class(r288,Y)	+class(r288,department)	-class(r288,course)	-class(r288,faculty)	-class(r288,person)	-class(r288,researchproject)	-class(r288,staff)	-class(r288,student)
class(r289,Y)	+class(r289,person)	+class(r289,student)	-class(r289,course)	-class(r289,department)	-class(r289,faculty)	-class(r289,researchproject)	-class(r289,staff)
class(r290,Y)	+class(r290,person)	+class(r290,student)	-class(r290,course)	-class(r290,department)	-class(r290,faculty)	-class(r290,researchproject)	-class(r290,staff)
class(r291,Y)	+class(r291,researchproject)	-class(r291,course)	-class(r291,department)	-class(r291,faculty)	-class(r291,person)	-class(r291,staff)	-class(r291,student)
