class(r1,Y)	+class(r1,department)	-class(r1,course)	-class(r1,faculty)	-class(r1,person)	-class(r1,researchproject)	-class(r1,staff)	-class(r1,student)
class(r3,Y)	+class(r3,person)	+class(r3,student)	-class(r3,course)	-class(r3,department)	-class(r3,faculty)	-class(r3,researchproject)	-class(r3,staff)
class(r2,Y)	+class(r2,department)	-class(r2,course)	-class(r2,faculty)	-class(r2,person)	-class(r2,researchproject)	-class(r2,staff)	-class(r2,student)
class(r4,Y)	+class(r4,person)	+class(r4,student)	-class(r4,course)	-class(r4,department)	-class(r4,faculty)	-class(r4,researchproject)	-class(r4,staff)
class(r5,Y)	+class(r5,course)	-class(r5,department)	-class(r5,faculty)	-class(r5,person)	-class(r5,researchproject)	-class(r5,staff)	-class(r5,student)
class(r6,Y)	+class(r6,course)	-class(r6,department)	-class(r6,faculty)	-class(r6,person)	-class(r6,researchproject)	-class(r6,staff)	-class(r6,student)
class(r7,Y)	+class(r7,department)	+class(r7,researchproject)	-class(r7,course)	-class(r7,faculty)	-class(r7,person)	-class(r7,staff)	-class(r7,student)
class(r8,Y)	+class(r8,department)	-class(r8,course)	-class(r8,faculty)	-class(r8,person)	-class(r8,researchproject)	-class(r8,staff)	-class(r8,student)
class(r9,Y)	+class(r9,department)	-class(r9,course)	-class(r9,faculty)	-class(r9,person)	-class(r9,researchproject)	-class(r9,staff)	-class(r9,student)
class(r11,Y)	+class(r11,department)	-class(r11,course)	-class(r11,faculty)	-class(r11,person)	-class(r11,researchproject)	-class(r11,staff)	-class(r11,student)
class(r10,Y)	+class(r10,department)	-class(r10,course)	-class(r10,faculty)	-class(r10,person)	-class(r10,researchproject)	-class(r10,staff)	-class(r10,student)
class(r12,Y)	+class(r12,person)	+class(r12,staff)	-class(r12,course)	-class(r12,department)	-class(r12,faculty)	-class(r12,researchproject)	-class(r12,student)
class(r10,Y)	+class(r10,researchproject)	-class(r10,course)	-class(r10,department)	-class(r10,faculty)	-class(r10,person)	-class(r10,staff)	-class(r10,student)
class(r13,Y)	+class(r13,department)	-class(r13,course)	-class(r13,faculty)	-class(r13,person)	-class(r13,researchproject)	-class(r13,staff)	-class(r13,student)
class(r14,Y)	+class(r14,department)	-class(r14,course)	-class(r14,faculty)	-class(r14,person)	-class(r14,researchproject)	-class(r14,staff)	-class(r14,student)
class(r15,Y)	+class(r15,researchproject)	-class(r15,course)	-class(r15,department)	-class(r15,faculty)	-class(r15,person)	-class(r15,staff)	-class(r15,student)
class(r16,Y)	+class(r16,department)	-class(r16,course)	-class(r16,faculty)	-class(r16,person)	-class(r16,researchproject)	-class(r16,staff)	-class(r16,student)
class(r18,Y)	+class(r18,faculty)	+class(r18,person)	-class(r18,course)	-class(r18,department)	-class(r18,researchproject)	-class(r18,staff)	-class(r18,student)
class(r17,Y)	+class(r17,researchproject)	-class(r17,course)	-class(r17,department)	-class(r17,faculty)	-class(r17,person)	-class(r17,staff)	-class(r17,student)
class(r19,Y)	+class(r19,department)	-class(r19,course)	-class(r19,faculty)	-class(r19,person)	-class(r19,researchproject)	-class(r19,staff)	-class(r19,student)
class(r20,Y)	+class(r20,department)	-class(r20,course)	-class(r20,faculty)	-class(r20,person)	-class(r20,researchproject)	-class(r20,staff)	-class(r20,student)
class(r21,Y)	+class(r21,course)	-class(r21,department)	-class(r21,faculty)	-class(r21,person)	-class(r21,researchproject)	-class(r21,staff)	-class(r21,student)
class(r22,Y)	+class(r22,course)	-class(r22,department)	-class(r22,faculty)	-class(r22,person)	-class(r22,researchproject)	-class(r22,staff)	-class(r22,student)
class(r23,Y)	+class(r23,person)	+class(r23,staff)	-class(r23,course)	-class(r23,department)	-class(r23,faculty)	-class(r23,researchproject)	-class(r23,student)
class(r24,Y)	+class(r24,researchproject)	-class(r24,course)	-class(r24,department)	-class(r24,faculty)	-class(r24,person)	-class(r24,staff)	-class(r24,student)
class(r27,Y)	+class(r27,department)	-class(r27,course)	-class(r27,faculty)	-class(r27,person)	-class(r27,researchproject)	-class(r27,staff)	-class(r27,student)
class(r28,Y)	+class(r28,department)	-class(r28,course)	-class(r28,faculty)	-class(r28,person)	-class(r28,researchproject)	-class(r28,staff)	-class(r28,student)
class(r29,Y)	+class(r29,department)	-class(r29,course)	-class(r29,faculty)	-class(r29,person)	-class(r29,researchproject)	-class(r29,staff)	-class(r29,student)
class(r33,Y)	+class(r33,department)	-class(r33,course)	-class(r33,faculty)	-class(r33,person)	-class(r33,researchproject)	-class(r33,staff)	-class(r33,student)
class(r34,Y)	+class(r34,department)	-class(r34,course)	-class(r34,faculty)	-class(r34,person)	-class(r34,researchproject)	-class(r34,staff)	-class(r34,student)
class(r35,Y)	+class(r35,department)	-class(r35,course)	-class(r35,faculty)	-class(r35,person)	-class(r35,researchproject)	-class(r35,staff)	-class(r35,student)
class(r36,Y)	+class(r36,department)	-class(r36,course)	-class(r36,faculty)	-class(r36,person)	-class(r36,researchproject)	-class(r36,staff)	-class(r36,student)
class(r37,Y)	+class(r37,department)	-class(r37,course)	-class(r37,faculty)	-class(r37,person)	-class(r37,researchproject)	-class(r37,staff)	-class(r37,student)
class(r38,Y)	+class(r38,course)	-class(r38,department)	-class(r38,faculty)	-class(r38,person)	-class(r38,researchproject)	-class(r38,staff)	-class(r38,student)
class(r40,Y)	+class(r40,department)	-class(r40,course)	-class(r40,faculty)	-class(r40,person)	-class(r40,researchproject)	-class(r40,staff)	-class(r40,student)
class(r42,Y)	+class(r42,department)	-class(r42,course)	-class(r42,faculty)	-class(r42,person)	-class(r42,researchproject)	-class(r42,staff)	-class(r42,student)
class(r43,Y)	+class(r43,department)	-class(r43,course)	-class(r43,faculty)	-class(r43,person)	-class(r43,researchproject)	-class(r43,staff)	-class(r43,student)
class(r44,Y)	+class(r44,department)	-class(r44,course)	-class(r44,faculty)	-class(r44,person)	-class(r44,researchproject)	-class(r44,staff)	-class(r44,student)
