class(r3,Y)	+class(r3,person)	+class(r3,student)	-class(r3,course)	-class(r3,department)	-class(r3,faculty)	-class(r3,researchproject)	-class(r3,staff)
class(r2,Y)	+class(r2,department)	-class(r2,course)	-class(r2,faculty)	-class(r2,person)	-class(r2,researchproject)	-class(r2,staff)	-class(r2,student)
class(r4,Y)	+class(r4,person)	+class(r4,student)	-class(r4,course)	-class(r4,department)	-class(r4,faculty)	-class(r4,researchproject)	-class(r4,staff)
class(r5,Y)	+class(r5,course)	-class(r5,department)	-class(r5,faculty)	-class(r5,person)	-class(r5,researchproject)	-class(r5,staff)	-class(r5,student)
class(r6,Y)	+class(r6,course)	-class(r6,department)	-class(r6,faculty)	-class(r6,person)	-class(r6,researchproject)	-class(r6,staff)	-class(r6,student)
class(r7,Y)	+class(r7,department)	+class(r7,researchproject)	-class(r7,course)	-class(r7,faculty)	-class(r7,person)	-class(r7,staff)	-class(r7,student)
class(r9,Y)	+class(r9,department)	-class(r9,course)	-class(r9,faculty)	-class(r9,person)	-class(r9,researchproject)	-class(r9,staff)	-class(r9,student)
class(r11,Y)	+class(r11,department)	-class(r11,course)	-class(r11,faculty)	-class(r11,person)	-class(r11,researchproject)	-class(r11,staff)	-class(r11,student)
class(r10,Y)	+class(r10,department)	-class(r10,course)	-class(r10,faculty)	-class(r10,person)	-class(r10,researchproject)	-class(r10,staff)	-class(r10,student)
class(r12,Y)	+class(r12,person)	+class(r12,staff)	-class(r12,course)	-class(r12,department)	-class(r12,faculty)	-class(r12,researchproject)	-class(r12,student)
class(r10,Y)	+class(r10,researchproject)	-class(r10,course)	-class(r10,department)	-class(r10,faculty)	-class(r10,person)	-class(r10,staff)	-class(r10,student)
class(r14,Y)	+class(r14,department)	-class(r14,course)	-class(r14,faculty)	-class(r14,person)	-class(r14,researchproject)	-class(r14,staff)	-class(r14,student)
class(r16,Y)	+class(r16,department)	-class(r16,course)	-class(r16,faculty)	-class(r16,person)	-class(r16,researchproject)	-class(r16,staff)	-class(r16,student)
class(r18,Y)	+class(r18,faculty)	+class(r18,person)	-class(r18,course)	-class(r18,department)	-class(r18,researchproject)	-class(r18,staff)	-class(r18,student)
class(r17,Y)	+class(r17,researchproject)	-class(r17,course)	-class(r17,department)	-class(r17,faculty)	-class(r17,person)	-class(r17,staff)	-class(r17,student)
class(r19,Y)	+class(r19,department)	-class(r19,course)	-class(r19,faculty)	-class(r19,person)	-class(r19,researchproject)	-class(r19,staff)	-class(r19,student)
