class(r1,Y)	+class(r1,department)	-class(r1,course)	-class(r1,faculty)	-class(r1,person)	-class(r1,researchproject)	-class(r1,staff)	-class(r1,student)
class(r3,Y)	+class(r3,person)	+class(r3,student)	-class(r3,course)	-class(r3,department)	-class(r3,faculty)	-class(r3,researchproject)	-class(r3,staff)
class(r2,Y)	+class(r2,department)	-class(r2,course)	-class(r2,faculty)	-class(r2,person)	-class(r2,researchproject)	-class(r2,staff)	-class(r2,student)
class(r4,Y)	+class(r4,person)	+class(r4,student)	-class(r4,course)	-class(r4,department)	-class(r4,faculty)	-class(r4,researchproject)	-class(r4,staff)
class(r5,Y)	+class(r5,course)	-class(r5,department)	-class(r5,faculty)	-class(r5,person)	-class(r5,researchproject)	-class(r5,staff)	-class(r5,student)
class(r6,Y)	+class(r6,course)	-class(r6,department)	-class(r6,faculty)	-class(r6,person)	-class(r6,researchproject)	-class(r6,staff)	-class(r6,student)
class(r7,Y)	+class(r7,department)	+class(r7,researchproject)	-class(r7,course)	-class(r7,faculty)	-class(r7,person)	-class(r7,staff)	-class(r7,student)
class(r8,Y)	+class(r8,department)	-class(r8,course)	-class(r8,faculty)	-class(r8,person)	-class(r8,researchproject)	-class(r8,staff)	-class(r8,student)
class(r11,Y)	+class(r11,department)	-class(r11,course)	-class(r11,faculty)	-class(r11,person)	-class(r11,researchproject)	-class(r11,staff)	-class(r11,student)
class(r10,Y)	+class(r10,department)	-class(r10,course)	-class(r10,faculty)	-class(r10,person)	-class(r10,researchproject)	-class(r10,staff)	-class(r10,student)
class(r12,Y)	+class(r12,person)	+class(r12,staff)	-class(r12,course)	-class(r12,department)	-class(r12,faculty)	-class(r12,researchproject)	-class(r12,student)
class(r10,Y)	+class(r10,researchproject)	-class(r10,course)	-class(r10,department)	-class(r10,faculty)	-class(r10,person)	-class(r10,staff)	-class(r10,student)
class(r13,Y)	+class(r13,department)	-class(r13,course)	-class(r13,faculty)	-class(r13,person)	-class(r13,researchproject)	-class(r13,staff)	-class(r13,student)
class(r15,Y)	+class(r15,researchproject)	-class(r15,course)	-class(r15,department)	-class(r15,faculty)	-class(r15,person)	-class(r15,staff)	-class(r15,student)
class(r21,Y)	+class(r21,course)	-class(r21,department)	-class(r21,faculty)	-class(r21,person)	-class(r21,researchproject)	-class(r21,staff)	-class(r21,student)
class(r22,Y)	+class(r22,course)	-class(r22,department)	-class(r22,faculty)	-class(r22,person)	-class(r22,researchproject)	-class(r22,staff)	-class(r22,student)
class(r23,Y)	+class(r23,person)	+class(r23,staff)	-class(r23,course)	-class(r23,department)	-class(r23,faculty)	-class(r23,researchproject)	-class(r23,student)
class(r24,Y)	+class(r24,researchproject)	-class(r24,course)	-class(r24,department)	-class(r24,faculty)	-class(r24,person)	-class(r24,staff)	-class(r24,student)
class(r25,Y)	+class(r25,department)	-class(r25,course)	-class(r25,faculty)	-class(r25,person)	-class(r25,researchproject)	-class(r25,staff)	-class(r25,student)
class(r26,Y)	+class(r26,department)	-class(r26,course)	-class(r26,faculty)	-class(r26,person)	-class(r26,researchproject)	-class(r26,staff)	-class(r26,student)
class(r27,Y)	+class(r27,department)	-class(r27,course)	-class(r27,faculty)	-class(r27,person)	-class(r27,researchproject)	-class(r27,staff)	-class(r27,student)
class(r28,Y)	+class(r28,department)	-class(r28,course)	-class(r28,faculty)	-class(r28,person)	-class(r28,researchproject)	-class(r28,staff)	-class(r28,student)
class(r29,Y)	+class(r29,department)	-class(r29,course)	-class(r29,faculty)	-class(r29,person)	-class(r29,researchproject)	-class(r29,staff)	-class(r29,student)
class(r30,Y)	+class(r30,department)	-class(r30,course)	-class(r30,faculty)	-class(r30,person)	-class(r30,researchproject)	-class(r30,staff)	-class(r30,student)
class(r31,Y)	+class(r31,department)	-class(r31,course)	-class(r31,faculty)	-class(r31,person)	-class(r31,researchproject)	-class(r31,staff)	-class(r31,student)
class(r32,Y)	+class(r32,department)	-class(r32,course)	-class(r32,faculty)	-class(r32,person)	-class(r32,researchproject)	-class(r32,staff)	-class(r32,student)
class(r36,Y)	+class(r36,department)	-class(r36,course)	-class(r36,faculty)	-class(r36,person)	-class(r36,researchproject)	-class(r36,staff)	-class(r36,student)
class(r37,Y)	+class(r37,department)	-class(r37,course)	-class(r37,faculty)	-class(r37,person)	-class(r37,researchproject)	-class(r37,staff)	-class(r37,student)
class(r39,Y)	+class(r39,department)	-class(r39,course)	-class(r39,faculty)	-class(r39,person)	-class(r39,researchproject)	-class(r39,staff)	-class(r39,student)
class(r40,Y)	+class(r40,department)	-class(r40,course)	-class(r40,faculty)	-class(r40,person)	-class(r40,researchproject)	-class(r40,staff)	-class(r40,student)
class(r41,Y)	+class(r41,department)	-class(r41,course)	-class(r41,faculty)	-class(r41,person)	-class(r41,researchproject)	-class(r41,staff)	-class(r41,student)
class(r43,Y)	+class(r43,department)	-class(r43,course)	-class(r43,faculty)	-class(r43,person)	-class(r43,researchproject)	-class(r43,staff)	-class(r43,student)
class(r44,Y)	+class(r44,department)	-class(r44,course)	-class(r44,faculty)	-class(r44,person)	-class(r44,researchproject)	-class(r44,staff)	-class(r44,student)
class(r45,Y)	+class(r45,department)	-class(r45,course)	-class(r45,faculty)	-class(r45,person)	-class(r45,researchproject)	-class(r45,staff)	-class(r45,student)
class(r47,Y)	+class(r47,person)	+class(r47,student)	-class(r47,course)	-class(r47,department)	-class(r47,faculty)	-class(r47,researchproject)	-class(r47,staff)
class(r46,Y)	+class(r46,department)	-class(r46,course)	-class(r46,faculty)	-class(r46,person)	-class(r46,researchproject)	-class(r46,staff)	-class(r46,student)
class(r48,Y)	+class(r48,department)	-class(r48,course)	-class(r48,faculty)	-class(r48,person)	-class(r48,researchproject)	-class(r48,staff)	-class(r48,student)
class(r49,Y)	+class(r49,department)	-class(r49,course)	-class(r49,faculty)	-class(r49,person)	-class(r49,researchproject)	-class(r49,staff)	-class(r49,student)
